time,thrust
2.921613,2291.901853
2.925484,2257.640824
2.929355,2295.410182
2.933226,2352.338308
2.937097,2373.388285
2.940968,2339.456161
2.944839,2377.664061
2.949,2386.07857
2.952871,2359.957961
2.956742,2368.098382
2.960613,2377.143293
2.964484,2358.423067
2.968355,2337.86645
2.972226,2264.164124
2.976097,2312.129564
2.979968,2346.93877
2.983839,2261.012109
2.987,2228.751924
2.990871,2322.4901
2.994742,2340.278426
2.998613,2278.115215
3.002484,2310.3754
3.006355,2370.565176
3.010226,2327.780003
3.014097,2356.339997
3.017968,2384.21477
3.021839,2382.597649
3.026,2374.292776
3.029871,2349.844105
3.033742,2354.558423
3.037613,2385.585211
3.041484,2352.009402
3.045355,2290.449185
3.049226,2329.23267
3.053097,2323.613861
3.056968,2273.236444
3.060839,2251.830153
3.065,2310.512444
3.068871,2291.709991
3.072742,2241.085894
3.076613,2288.146844
3.080484,2369.085099
3.084355,2341.731094
3.088226,2323.504226
3.092097,2373.306058
3.095968,2346.034279
3.099839,2354.558423
3.103,2371.798573
3.106871,2383.611776
3.110742,2373.141605
3.114613,2344.718655
3.118484,2301.604576
3.122355,2311.06062
3.126226,2351.954585
3.130097,2310.457626
3.133968,2284.391835
3.137839,2307.195976
3.142,2271.098556
3.145871,2248.787774
3.149742,2312.403653
3.153613,2340.744376
3.157484,2324.847258
3.161355,2319.173632
3.165226,2347.020997
3.169097,2385.064443
3.172968,2381.364252
3.176839,2353.46207
3.181,2380.240491
3.184871,2399.097761
3.188742,2343.786755
3.192613,2303.632829
3.196484,2314.157817
3.200355,2283.596979
3.204226,2279.458247
3.208097,2310.402809
3.211968,2291.02477
3.215839,2286.666768
3.219,2265.561974
3.222871,2284.117747
3.226742,2365.302682
3.230613,2346.637273
3.234484,2272.112682
3.238355,2378.321873
3.242226,2427.986661
3.246097,2358.861608
3.249968,2348.035123
3.253839,2406.717414
3.258,2352.859076
3.261871,2307.936014
3.265742,2298.205882
3.269613,2311.553979
3.273484,2342.388905
3.277355,2277.457403
3.281226,2257.887503
3.285097,2311.279891
3.288968,2298.94592
3.292839,2287.76312
3.297,2302.262388
3.300871,2340.086564
3.304742,2326.68365
3.308613,2315.72012
3.312484,2339.620614
3.316355,2397.398414
3.320226,2405.621061
3.324097,2348.501073
3.327968,2360.095005
3.331839,2340.552514
3.336,2320.269985
3.339871,2335.701153
3.343742,2319.91367
3.347613,2334.988523
3.351484,2315.007491
3.355355,2289.489876
3.359226,2271.016329
3.363097,2280.143468
3.366968,2316.076435
3.370839,2283.624388
3.374,2294.642735
3.377871,2331.260923
3.381742,2353.297617
3.385613,2325.642114
3.389484,2356.148135
3.393355,2360.286867
3.397226,2338.469444
3.401097,2380.185673
3.404968,2352.694623
3.408839,2319.255859
3.413,2349.679652
3.416871,2321.667835
3.420742,2297.931794
3.424613,2287.269762
3.428484,2273.209035
3.432355,2281.102776
3.436226,2315.281579
3.440097,2296.999894
3.443968,2296.890259
3.447839,2306.702617
3.452,2309.772406
3.455871,2339.538388
3.459742,2371.908208
3.463613,2360.286867
3.467484,2353.599114
3.471355,2368.893238
3.475226,2376.841796
3.479097,2328.985991
3.482968,2356.339997
3.486839,2348.884797
3.49,2301.303079
3.493871,2331.370558
3.497742,2287.434215
3.501613,2316.871291
3.505484,2273.592759
3.509355,2265.260476
3.513226,2295.136094
3.517097,2315.72012
3.520968,2306.236667
3.524839,2308.347147
3.529,2362.972932
3.532871,2346.883952
3.536742,2344.554202
3.540613,2347.212858
3.544484,2375.992123
3.548355,2374.512046
3.552226,2349.624835
3.556097,2362.178076
3.559968,2385.14667
3.563839,2324.874667
3.568,2305.058088
3.571871,2324.463535
3.575742,2293.793062
3.579613,2289.983235
